city_id,city_name,lat,lon,is_economic_center
1,An Giang,10.3864,105.4352,false
2,Ba Ria - Vung Tau,10.5417,107.2429,false
3,Bac Giang,21.2731,106.1946,false
4,Bac Kan,22.1470,105.8348,false
5,Bac Lieu,9.2940,105.7278,false
6,Bac Ninh,21.1861,106.0763,true
7,Ben Tre,10.2434,106.3756,false
8,Binh Dinh,13.7820,109.2190,false
9,Binh Duong,10.9804,106.6519,true
10,Binh Phuoc,11.5349,106.8832,false
11,Binh Thuan,10.9333,108.1000,false
12,Ca Mau,9.1768,105.1524,false
13,Can Tho,10.0452,105.7469,true
14,Cao Bang,22.6667,106.2500,false
15,Da Nang,16.0544,108.2022,true
16,Dak Lak,12.6667,108.0500,false
17,Dak Nong,12.0042,107.6907,false
18,Dien Bien,21.3860,103.0230,false
19,Dong Nai,10.9574,106.8427,true
20,Dong Thap,10.4938,105.6882,false
21,Gia Lai,13.9833,108.0000,false
22,Ha Giang,22.8233,104.9836,false
23,Ha Nam,20.5835,105.9229,false
24,Ha Noi,21.0278,105.8342,true
25,Ha Tinh,18.3428,105.9057,false
26,Hai Duong,20.9373,106.3146,false
27,Hai Phong,20.8449,106.6881,true
28,Hau Giang,9.7845,105.4701,false
29,Hoa Binh,20.8172,105.3376,false
30,Ho Chi Minh City,10.8231,106.6297,true
31,Hung Yen,20.6464,106.0511,false
32,Khanh Hoa,12.2388,109.1967,false
33,Kien Giang,10.0125,105.0809,false
34,Kon Tum,14.3497,108.0005,false
35,Lai Chau,22.3862,103.4707,false
36,Lam Dong,11.9404,108.4583,false
37,Lang Son,21.8526,106.7610,false
38,Lao Cai,22.4809,103.9755,false
39,Long An,10.6956,106.2431,false
40,Nam Dinh,20.4388,106.1621,false
41,Nghe An,18.6733,105.6923,false
42,Ninh Binh,20.2506,105.9745,false
43,Ninh Thuan,11.5643,108.9886,false
44,Phu Tho,21.3227,105.4020,false
45,Phu Yen,13.0882,109.0929,false
46,Quang Binh,17.4689,106.6223,false
47,Quang Nam,15.5736,108.4740,false
48,Quang Ngai,15.1205,108.7923,false
49,Quang Ninh,20.9712,107.0448,true
50,Quang Tri,16.7500,107.2000,false
51,Soc Trang,9.6025,105.9739,false
52,Son La,21.3270,103.9141,false
53,Tay Ninh,11.3100,106.0983,false
54,Thai Binh,20.4463,106.3366,false
55,Thai Nguyen,21.5672,105.8252,false
56,Thanh Hoa,19.8067,105.7852,false
57,Thua Thien Hue,16.4637,107.5909,true
58,Tien Giang,10.4493,106.3420,false
59,Tra Vinh,9.9513,106.3346,false
60,Tuyen Quang,21.8233,105.2142,false
61,Vinh Long,10.2537,105.9722,false
62,Vinh Phuc,21.3089,105.6049,false
63,Yen Bai,21.7050,104.8750,false
